808,stefan decker
809,sajama
810,sara shanian
811,chun chen
812,kuang-chih lee
813,amit daniely
814,joel w. burdick
815,francis r. bach
816,michael mathioudakis
817,changho suh
818,ning zhong
819,yi mao
820,yang sok kim
821,xiao cai
822,wang-chien lee
823,john bertetto
824,xiaohua hu
825,sylvain robbiano
826,jacob d. abernethy
827,jonathan h. huggins
828,florent masseglia
829,qing yang
830,nicolas boumal
831,ruoming jin
832,hua wang
833,bo-june paul hsu
834,lee-feng chien
835,qing wang
836,chaoran cheng
837,art munson
838,xu-ying liu
839,sara comai
840,alexandre lacoste
841,david j. kriegman
842,david cohn
843,balaji lakshminarayanan
844,yanjun qi
845,eren manavoglu
846,yaoyong li
847,ming li
848,eytan adar
849,pierre genevès
850,dan jurafsky
851,hsiao-wuen hon
852,noemie elhadad
853,kazuyuki aihara
854,mario fritz
855,gang wang
856,adam kalai
857,harold pashler
858,krishnaram kenthapadi
859,junjie wu
860,ming-hsuan yang
861,nathalie japkowicz
862,dingding wang
863,arik azran
864,wolfgang rosenstiel
865,benoît dumoulin
866,ralf m. haefner
867,alan malek
868,c. mario christoudias
869,geoff holmes
870,margaret gaitatzes kostoulas
871,zhe gan
872,michael isard
873,denny vrandecic
874,robert grossman
875,xiang ren
876,leman akoglu
877,yi-dong shen
878,zhenhui li
879,shotaro akaho
880,paul r. schrater
881,stephen boyd
882,bill triggs
883,tong zhang
884,jérôme siméon
885,ashton anderson
886,samuel maurus
887,stan matwin
888,thang d. bui
889,zografoula vagena
890,rong yan
891,virginia smith
892,joseph l. hellerstein
893,shai ben-david
894,xue li
895,kyumin lee
896,dan luo
897,geoffrey j. gordon
898,simo särkkä
899,jacquelyn a. shelton
900,evangelos e. papalexakis
901,yijun sun
902,siegfried nijssen
903,samuel rota bulò
904,ganesh ramakrishnan
905,shamanth kumar
906,radha chitta
907,alessandro verri
908,sepp hochreiter
909,christopher tosh
910,juan huo
911,ambedkar dukkipati
912,wei xiong
913,meeyoung cha
914,vikas singh
915,xue-wen chen
916,marcus fontoura
917,vladimir pavlovic
918,nesreen k. ahmed
919,amit anil nanavati
920,kwong-sak leung
921,qing he
922,lei yu
923,marc peter deisenroth
924,zhuo wang
925,yann lecun
926,feng chen
927,gang li
928,vladimir jojic
929,john kalaska
930,hisashi kashima
931,ilya o. tolstikhin
932,max jaderberg
933,fuxin li
934,chris j. maddison
935,yoshihiro yamanishi
936,pengcheng wu
937,shiro ikeda
938,jeonghee kim
939,theodoros evgeniou
940,deepayan chakrabarti
941,wolfgang holzinger
942,li wan
943,qiang liu
944,shubho sengupta
945,yinghui yang
946,ross b. girshick
947,danilo jimenez rezende
948,milan vojnovic
949,huishuai zhang
950,damien sulla-menashe
951,xiaoyuan wu
952,daniel s. weld
953,gopal santhanam
954,stefano panzeri
955,ashutosh saxena
956,hiroshi mamitsuka
957,huiping cao
958,pinar yanardag
959,nagarajan natarajan
960,guillermo d. cañas
961,dietmar ebner
962,nuria oliver
963,duy quang vu
964,richard l. lewis
965,aston zhang
966,karam gouda
967,daniel p. huttenlocher
968,olivier nicol
969,raju balakrishnan
970,jacobus e. van der merwe
971,daniele quercia
972,shaohua sun
973,pabitra mitra
974,frank nielsen
975,marco rosa
976,miho ohsaki
977,xuelong li
978,rich caruana
979,xun zhou
980,gediminas luksys
981,gerhard widmer
982,sara a. solla
983,lucas theis
984,judy goldsmith
985,christopher potts
986,dustin tran
987,srini narayanan
988,cassio polpo de campos
989,raymond chi-wing wong
990,nitin jindal
991,kôiti hasida
992,hannu toivonen
993,dawn song
994,eric tzeng
995,peter v. gehler
996,paris smaragdis
997,abraham d. flaxman
998,edward choi
999,kevin p. murphy
1000,moshe butman
1001,jianying hu
1002,tsuhan chen
1003,brian karrer
1004,kilho shin
1005,zhi-qiang liu
1006,ryan gomes
1007,forest agostinelli
1008,robi polikar
1009,david andrzejewski
1010,vikash k. mansinghka
1011,martin scholz
1012,wenbin cai
1013,ying yang
1014,bhaskaran raman
1015,yishay mansour
1016,gang wei
1017,deng cai
1018,peter haider
1019,nazim h. madhavji
1020,richang hong
1021,tiancheng li
1022,heng huang
1023,linhong zhu
1024,sinno jialin pan
1025,azin ashkan
1026,mukund raghavachari
1027,jianxin wu
1028,marius kloft
1029,yue xu
1030,drew bagnell
1031,stephen dill
1032,gang ji
1033,robert chen
1034,dragomir r. radev
1035,andreas lommatzsch
1036,erich schubert
1037,ruby c. weng
1038,guy bresler
1039,daniel j. lizotte
1040,paul s. bradley
1041,pat hanrahan
1042,yintao yu
1043,duy nguyen-tuong
1044,yuri breitbart
1045,naonori kakimura
1046,helga van herle
1047,tatsunori b. hashimoto
1048,hamed valizadegan
1049,dan he
1050,marco cuturi
1051,julien epps
1052,dan roth
1053,andrzej cichocki
1054,gert cauwenberghs
1055,guangcan liu
1056,balaji padmanabhan
1057,emile contal
1058,alex beutel
1059,bin cao
1060,sendhil mullainathan
1061,cheng-lin liu
1062,wei wu
1063,venkat chandrasekaran
1064,zhan wei lim
1065,sang-wook kim
1066,yangyong zhu
1067,christopher james langmead
1068,ramani duraiswami
1069,paramveer s. dhillon
1070,debarghya ghoshdastidar
1071,shui-lung chuang
1072,elke a. rundensteiner
1073,shengrui wang
1074,ronen eldan
1075,haiping ma
1076,kohei hatano
1077,sharon goldwater
1078,andreas christmann
1079,edward h. adelson
1080,shih-chii liu
1081,xufei wang
1082,chris giannella
1083,olvi l. mangasarian
1084,jun liu
1085,oded netzer
1086,nils kriege
1087,claus weihs
1088,yuichi yoshida
1089,dario garcía-garcía
1090,zhen liu
1091,yutaka matsuo
1092,i. cid
1093,andrew miller
1094,shinichi honiden
1095,eric j. glover
1096,yukino baba
1097,kaizhu huang
1098,anuj srivastava
1099,yun jiang
1100,marc e. maier
1101,christopher ré
1102,chao liu
1103,shady shehata
1104,alessandro lazaric
1105,lixin gao
1106,sofia mosci
1107,raif m. rustamov
1108,yongfeng zhang
1109,shian-hua lin
1110,ben fei
1111,yunus saatci
1112,brent bryan
1113,manfred k. warmuth
1114,andrew cotter
1115,yangqiu song
1116,yiran chen
1117,utku irmak
1118,jure leskovec
1119,marc pollefeys
1120,yihong eric zhao
1121,nikhil s. rao
1122,mirella moura moro
1123,k. r. ramakrishnan
1124,gang chen
1125,joris m. mooij
1126,stefan rüping
1127,amit sharma
1128,shaodan zhai
1129,stephen pasteris
1130,kaiser asif
1131,moritz hardt
1132,john f. canny
1133,bharat b. gulyani
1134,yasuko matsubara
1135,michalis vazirgiannis
1136,li cheng
1137,victor e. lee
1138,max van kleek
1139,prasant mohapatra
1140,kenji yoshihira
1141,zhi zhou
1142,jonathan r. wells
1143,dashan gao
1144,tongliang liu
1145,peter j. ramadge
1146,peng cui
1147,murat dundar
1148,roelof van zwol
1149,sreenivas gollapudi
1150,arash molavi kakhki
1151,debora donato
1152,yizhou sun
1153,dale schuurmans
1154,cédric févotte
1155,nick craswell
1156,ching-huang yun
1157,gary livingston
1158,prateek jain
1159,wolfgang nejdl
1160,robert c. williamson
1161,peng sun
1162,wei ding
1163,antoine bordes
1164,jian cao
1165,dániel fogaras
1166,jinfeng yi
1167,sanjeev satheesh
1168,tobi delbrück
1169,aditya grover
1170,mohammad e. khan
1171,aarti singh
1172,ilya sutskever
1173,alexander j. hartemink
1174,saikat guha
1175,valter crescenzi
1176,andrás kocsor
1177,gilad mishne
1178,james saunderson
1179,paavo kotinurmi
1180,joseph tassarotti
1181,tao li
1182,arno siebes
1183,xiaohui yu
1184,xiangru lian
1185,andrew emmott
1186,richard f. helm
1187,yu-xiang wang
1188,dimitrios a. karras
1189,warren b. powell
1190,benjamin taskar
1191,joshua t. vogelstein
1192,yaling zheng
1193,michael a. saunders
1194,sebastian riedel
1195,michael lindenbaum
1196,peter e. latham
1197,yijun huang
1198,benjamin blankertz
1199,reiner kraft
1200,michael a. goodrich
1201,tianrui li
1202,tanveer a. faruquie
1203,hung hai bui
1204,tim oates
1205,john paisley
1206,victor bittorf
1207,srinivas c. turaga
1208,jaime g. carbonell
1209,peilin zhao
1210,kenneth a. de jong
1211,linyun yu
1212,bai wang
1213,jorge nocedal
1214,david tse
1215,armin haller
1216,levi boyles
1217,danny soroker
1218,qi qian
1219,stefano zanero
1220,matus telgarsky
1221,david vickrey
1222,sridhar mahadevan
1223,yong rui
1224,tuan m. v. le
1225,lusong li
1226,bernd meyer
1227,richard m. karp
1228,tanzeem choudhury
1229,shiqi zhao
1230,vanessa murdock
1231,benjamin letham
1232,zhaoran wang
1233,shiguang shan
1234,aixin sun
1235,jishang wei
1236,yin lou
1237,stefan habenschuss
1238,doug warner
1239,byunghan lee
1240,maxwell d. collins
1241,amr ahmed
1242,guillaume hennequin
1243,walid g. aref
1244,patrick freudenstein
1245,ralph etienne-cummings
1246,roberto esposito
1247,r. jacob vogelstein
1248,shinichi nakajima
1249,alexei vinokourov
1250,stefan schaal
1251,mark dredze
1252,yada zhu
1253,stefan harmeling
1254,jia deng
1255,françois rivest
1256,thanawin rakthanmanon
1257,christina s. leslie
1258,maria-florina balcan
1259,john r. kender
1260,carlos scheidegger
1261,lin liu
1262,pierre geurts
1263,michael j. kearns
1264,artur merke
1265,boleslaw k. szymanski
1266,hua-fu li
1267,james zou
1268,sriram raghavan
1269,todd k. leen
1270,anthony j. bonner
1271,ke zhai
1272,hiroshi inamura
1273,yan yang
1274,santosh kabbur
1275,ah-hwee tan
1276,guy j. brown
1277,john cunningham
1278,kevin b. pratt
1279,shahriar shariat
